             epoch single_multi          MJD       JYear num_frames_all strehl_mean_all strehl_mean_combo strehl_std_all strehl_med_all strehl_mad_all fwhm_mean_all fwhm_std_all fwhm_med_all fwhm_mad_all num_frames_combo strehl_std_combo strehl_med_combo strehl_mad_combo fwhm_mean_combo fwhm_std_combo fwhm_med_combo fwhm_mad_combo      weighted_DIMM       weighted_MASS
20190419_0420nirc2  multi_night 58593.567518 2019.299295            292         0.27916           0.36404        0.08286        0.28500        0.06900      72.53596     10.77558     70.60500      7.24500              114          0.03694          0.36000          0.02000        62.51596        3.14239       63.29000        2.21000 1.0210407313579313 0.41412684491629737
     20190419nirc2 single_night 58592.570633 2019.296566            120         0.19867           0.22485        0.03862        0.19900        0.02450      82.04258      8.69330     80.19500      4.20000               66          0.02451          0.22000          0.02000        76.18106        3.55680       77.04000        1.93500 1.2024923792755098  0.5533628540882436
     20190420nirc2 single_night 58593.582151 2019.299335            172         0.33533           0.36527        0.05422        0.33750        0.03450      65.90343      6.11174     65.32000      3.32500              112          0.03608          0.36000          0.02000        62.46455        3.14596       63.24500        2.25500  1.015750122898402  0.4090576113533189
     20190513nirc2 single_night 58616.506785 2019.362099             98         0.32965           0.37118        0.08034        0.34150        0.05550      66.36398      9.68243     63.85500      5.48000               68          0.04717          0.37500          0.03500        61.03471        3.63756       60.10500        2.80000 0.9582046193674464  0.2180917625368533
     20190523nirc2 single_night 58626.497844 2019.389453            177         0.34376           0.36813        0.06297        0.35100        0.03700      63.75616      7.95460     61.83000      3.68000              139          0.04005          0.37000          0.03000        60.55583        3.34829       60.36000        2.58000 0.8336610939907525 0.20023542468818084
     20190625nirc2 single_night 58659.458739 2019.479695             29         0.20138           0.24917        0.04873        0.19300        0.03000      87.19172     11.66953     85.54000      8.26000               12          0.03451          0.24000          0.02000        76.12083        5.16878       75.44000        4.43500 1.0035398091958494  0.7778037315755847
     20190630nirc2 single_night 58664.456980 2019.493380             12         0.38492           0.41600        0.07650        0.40700        0.01900      59.23500      7.41653     56.64000      1.49500               10          0.02245          0.41500          0.01500        56.18900        2.14023       56.04000        1.34500  0.475239349275054 0.17875683529666056
     20190814nirc2 single_night 58709.291742 2019.616131             54         0.25019           0.29441        0.06764        0.27800        0.04450      76.48815     12.69632     71.85500      6.29000               34          0.02922          0.29500          0.01500        68.38176        3.45021       67.39500        2.09000 1.0620431235060954  0.2638978387224862
20190818_0819nirc2  multi_night 58713.883089 2019.628701             37         0.30997           0.31758        0.04716        0.31400        0.04300      67.26162      5.49063     66.31000      4.71000               33          0.04493          0.32000          0.04000        66.13242        4.56631       65.94000        4.17000 0.6109845777825776  0.3112137474921297
     20190818nirc2 single_night 58713.244295 2019.626952             13         0.32531           0.32538        0.04534        0.32600        0.03300      64.35000      3.62569     62.57000      2.96000               13          0.04635          0.33000          0.03000        64.35000        3.62569       62.57000        2.96000 0.6817395452900845   0.504218018487217
